date_key,day_sequence,full_date,year,month,month_name,day_of_month,week_start_date
20260427,1,2026-04-27,2026,4,April,27,2026-04-27
20260428,2,2026-04-28,2026,4,April,28,2026-04-27
20260429,3,2026-04-29,2026,4,April,29,2026-04-27
20260430,4,2026-04-30,2026,4,April,30,2026-04-27
20260501,5,2026-05-01,2026,5,May,1,2026-04-27
20260502,6,2026-05-02,2026,5,May,2,2026-04-27
20260503,7,2026-05-03,2026,5,May,3,2026-04-27
20260504,8,2026-05-04,2026,5,May,4,2026-05-04
20260505,9,2026-05-05,2026,5,May,5,2026-05-04
20260506,10,2026-05-06,2026,5,May,6,2026-05-04
20260507,11,2026-05-07,2026,5,May,7,2026-05-04
20260508,12,2026-05-08,2026,5,May,8,2026-05-04
20260509,13,2026-05-09,2026,5,May,9,2026-05-04
20260510,14,2026-05-10,2026,5,May,10,2026-05-04
20260511,15,2026-05-11,2026,5,May,11,2026-05-11
20260512,16,2026-05-12,2026,5,May,12,2026-05-11
20260513,17,2026-05-13,2026,5,May,13,2026-05-11
20260514,18,2026-05-14,2026,5,May,14,2026-05-11
20260515,19,2026-05-15,2026,5,May,15,2026-05-11
20260516,20,2026-05-16,2026,5,May,16,2026-05-11
20260517,21,2026-05-17,2026,5,May,17,2026-05-11
20260518,22,2026-05-18,2026,5,May,18,2026-05-18
20260519,23,2026-05-19,2026,5,May,19,2026-05-18
20260520,24,2026-05-20,2026,5,May,20,2026-05-18
20260521,25,2026-05-21,2026,5,May,21,2026-05-18
20260522,26,2026-05-22,2026,5,May,22,2026-05-18
20260523,27,2026-05-23,2026,5,May,23,2026-05-18
20260524,28,2026-05-24,2026,5,May,24,2026-05-18
20260525,29,2026-05-25,2026,5,May,25,2026-05-25
20260526,30,2026-05-26,2026,5,May,26,2026-05-25
20260527,31,2026-05-27,2026,5,May,27,2026-05-25
