market_rate_key,date_key,asset_key,source_key,usd_value,base_100_index,daily_pct_change
1,20260427,1,1,77068.29246494433,100.0,
2,20260428,1,1,76229.4038502392,98.91149967402391,-1.0885003259760828
3,20260429,1,1,75907.29950981027,98.49355303199152,-0.4225460572428785
4,20260430,1,1,76189.37205616337,98.85955640034356,0.371601345555228
5,20260501,1,1,78138.26976073837,101.3883495554034,2.557965306681309
6,20260502,1,1,78804.99536374844,102.25345968264972,0.853263842482832
7,20260503,1,1,79164.91262664807,102.72047050044272,0.4567188428072688
8,20260504,1,1,80060.10705547684,103.88203046264891,1.130796964370595
9,20260505,1,1,81102.49055562499,105.23457567522424,1.3020011320067804
10,20260506,1,1,81341.72824280302,105.5449986514266,0.2949819241542917
11,20260507,1,1,79903.13315729475,103.67834890547223,-1.768581903268751
12,20260508,1,1,80272.10755156755,104.15711180843992,0.461777128997487
13,20260509,1,1,80742.81677374235,104.76788078634208,0.5863920065539707
14,20260510,1,1,82025.58932286626,106.43234292517488,1.588714142483405
15,20260511,1,1,81823.28617527579,106.1698443786001,-0.2466341897211732
16,20260512,1,1,80652.28434539585,104.65041039034534,-1.4311351751034596
17,20260513,1,1,79401.91331959852,103.02799086370788,-1.550323138328702
18,20260514,1,1,81418.22020889683,105.64425083886624,2.5393681398866663
19,20260515,1,1,79067.66378149157,102.5942852145799,-2.887015242257052
20,20260516,1,1,78156.22546207823,101.41164798432348,-1.1527320725349344
21,20260517,1,1,77927.94321509842,101.11544024482586,-0.292084534060022
22,20260518,1,1,76995.11844336234,99.90505301305946,-1.1970350213931336
23,20260519,1,1,76657.70732989699,99.46724506030272,-0.438224033272383
24,20260520,1,1,77407.41652229207,100.4400305839162,0.9779958447866166
25,20260521,1,1,77549.3027208868,100.62413508922788,0.1832979383233457
26,20260522,1,1,75650.83264919114,98.16077433349398,-2.44808142057521
27,20260523,1,1,76485.46079733527,99.24374648903222,1.103263664016052
28,20260524,1,1,76711.6847806074,99.53728352746477,0.2957738384705033
29,20260525,1,1,77092.594938148,100.03153368580824,0.4965477666537987
30,20260526,1,1,75636.67263339218,98.14240099817528,-1.8885371622578195
31,20260527,1,1,75610.10208701751,98.10792437293183,-0.0351291846264256
32,20260427,2,2,0.85222,100.0,
33,20260428,2,2,0.85352,100.15254277064606,0.1525427706460691
34,20260429,2,2,0.85431,100.24524183896176,0.0925578779642055
35,20260430,2,2,0.85439,100.25462908638612,0.0093642822862838
36,20260501,2,2,0.85433,100.24758865081786,-0.00702255410292
37,20260502,2,2,0.85417,100.22881415596912,-0.0187281261339378
38,20260503,2,2,0.85412,100.22294712632888,-0.0058536356931315
39,20260504,2,2,0.85301,100.09269906831572,-0.1299583196740394
40,20260505,2,2,0.85411,100.22177372040083,0.1289551118978771
41,20260506,2,2,0.85213,99.9894393466476,-0.2318202573438954
42,20260507,2,2,0.84991,99.7289432306212,-0.2605236290237456
43,20260508,2,2,0.84987,99.72424960690904,-0.0047063806756009
44,20260509,2,2,0.8498,99.7160357654127,-0.0082365538258799
45,20260510,2,2,0.84978,99.71368895355658,-0.0023534949399883
46,20260511,2,2,0.84945,99.67496655793106,-0.0388335804561101
47,20260512,2,2,0.85042,99.78878693295158,0.1141915356995593
48,20260513,2,2,0.85235,100.0152542770646,0.2269466851673396
49,20260514,2,2,0.85378,100.18305132477528,0.1677714553880438
50,20260515,2,2,0.85695,100.55502100396612,0.3712900278760367
51,20260516,2,2,0.85733,100.59961042923187,0.0443433105782098
52,20260517,2,2,0.85775,100.64889347820989,0.0489893040019673
53,20260518,2,2,0.85878,100.76975428879868,0.1200816088603895
54,20260519,2,2,0.85955,100.86010654525828,0.0896620787629087
55,20260520,2,2,0.86087,101.01499612776044,0.153568727822706
56,20260521,2,2,0.86102,101.03259721668114,0.0174242336241192
57,20260522,2,2,0.86041,100.9610194550703,-0.0708462056630554
58,20260523,2,2,0.8605,100.97158010842271,0.0104601294731665
59,20260524,2,2,0.86056,100.97862054399098,0.0069726902963251
60,20260525,2,2,0.85943,100.8460256741217,-0.1313098447522476
61,20260526,2,2,0.85836,100.72047123982072,-0.1245011228372283
62,20260527,2,2,0.85921,100.82021074370468,0.0990260496761319
63,20260427,3,2,0.73881,100.0,
64,20260428,3,2,0.73977,100.12993868518294,0.1299386851829398
65,20260429,3,2,0.74058,100.23957445080602,0.1094934912202472
66,20260430,3,2,0.74041,100.21656447530488,-0.022954981230927
67,20260501,3,2,0.73966,100.11504987750573,-0.1012952283194534
68,20260502,3,2,0.73942,100.08256520621,-0.0324473406700387
69,20260503,3,2,0.73929,100.06496934259144,-0.0175813475426611
70,20260504,3,2,0.73783,99.86735425887576,-0.1974867778544276
71,20260505,3,2,0.7385,99.9580406329097,0.0908068254205085
72,20260506,3,2,0.73603,99.62371922415775,-0.3344617467840316
73,20260507,3,2,0.73461,99.4315182523247,-0.192926918739722
74,20260508,3,2,0.73491,99.47212409144434,0.0408379956711613
75,20260509,3,2,0.73487,99.46670997956174,-0.0054428433413522
76,20260510,3,2,0.73487,99.46670997956174,0.0
77,20260511,3,2,0.73527,99.52085109838796,0.0544313960292308
78,20260512,3,2,0.73709,99.76719318904723,0.2475281189223022
79,20260513,3,2,0.73864,99.97699002449886,0.2102863965051771
80,20260514,3,2,0.73999,100.15971630053735,0.1827683309866934
81,20260515,3,2,0.7451,100.85136909354232,0.6905498722955539
82,20260516,3,2,0.7457,100.93258077178166,0.0805261038786753
83,20260517,3,2,0.74631,101.01514597799164,0.0818023333780448
84,20260518,3,2,0.74783,101.22088222953128,0.2036687167530804
85,20260519,3,2,0.74617,100.99619658640246,-0.2219755826859071
86,20260520,3,2,0.74579,100.94476252351754,-0.050926732514045
87,20260521,3,2,0.745,100.83783381383576,-0.1059279421821046
88,20260522,3,2,0.74425,100.7363192160366,-0.100671140939601
89,20260523,3,2,0.74429,100.74173332791922,0.0053745381256353
90,20260524,3,2,0.74429,100.74173332791922,0.0
91,20260525,3,2,0.74264,100.51840121276103,-0.2216877829878227
92,20260526,3,2,0.74172,100.39387663946076,-0.1238823656145582
93,20260527,3,2,0.74183,100.40876544713797,0.0148303942188343
